name,skills,interest_area
Luiz G.,"['Algoritmo', 'Arduino', 'Mineração de Dados', 'Delphi', 'Fortran', 'Inglês Avançado', 'MySQL', 'Python', 'Excel', 'Visual Basic']","['Banco de Dados', 'Cloud Computing', 'Desenvolvimento Desktop', 'Teste de Software', 'Outra - Web, Mobile & Software', 'Planilhas e Relatórios', 'Engenharia Mecânica']"
Victor G.,"['Alemão', 'Análise de Projetos', 'Mineração de Dados', 'Armazenagem de Dados', 'Excel', 'Inglês Fluente', 'Mercado Financeiro', 'Python', 'SAS', 'Tradução']","['Banco de Dados', 'Inglês', 'Outra - Escrita', 'Entrada de Dados', 'Engenharia Mecânica', 'Análise de Dados & Estatística', 'Gestão de Projetos', 'Planejamento de Negócios']"
Erluan F.,"['Javascript', 'jQuery', 'MySQL', 'PHP', 'UX', 'Inglês Avançado', 'NoSQL Couchbase', 'Python', 'Flutter', 'iOS']","['UX/UI & Web Design', 'Desenvolvimento Mobile', 'Desenvolvimento Web', 'Desenvolvimento Desktop', 'Outra - Web, Mobile & Software']"
Juan S.,"['Banco De Dados', 'Excel', 'Google Analytics', 'MySQL', 'Python', 'SQL', 'Web Analytics', 'Cloud Computing']","['Banco de Dados', 'Cloud Computing', 'Entrada de Dados', 'Análise de Dados & Estatística']"
Túlio P.,"['.NET Compact Framework', '.NET Framework', 'Administração', 'Análise de Projetos', 'Banco De Dados', 'ABBYY FineReader', 'Desenvolvimento de API', 'Google Maps API', 'ABAP', 'Python']","['Engenharia Elétrica & Eletrônica', 'Análise de Dados & Estatística', 'Web, Mobile & Software', 'Tecnologia da Informação']"
Rafael S.,"['Framework JavaScript', 'NodeJS', 'PHP', 'Ruby on Rails', 'PHP5', 'Programação C', 'Programação C++', 'Programação Orientada a Objetos', 'Javascript', 'Vue.JS']","['Desenvolvimento Web', 'Desenvolvimento Desktop']"
Felipe L.,"['Design de Games', 'Design de Website', 'Programação C++', 'Mobile', 'Tradução', 'Amazon Web Services', 'NodeJS', 'PHP']","['Design 3D', 'Desenvolvimento de Games', 'Desenvolvimento Mobile', 'Desenvolvimento Web', 'Desenvolvimento Desktop']"
Bruno M.,"['AngularJS', 'Banco De Dados', 'CakePHP', 'CSS3', 'Framework JavaScript', 'Javascript', 'PHP', 'Programação C++', 'Python', 'Wordpress']","['Banco de Dados', 'Desenvolvimento Mobile', 'Desenvolvimento Web', 'Cloud Computing', 'Outra - Web, Mobile & Software']"
Heitor R.,"['AngularJS', 'Arduino', 'Business Intelligence', 'Mineração de Dados', 'Javascript', 'NodeJS', 'Programação C++', 'Python']","['Banco de Dados', 'Desenvolvimento Web', 'Marketing Digital', 'Desenvolvimento Desktop', 'Gestão de Projetos']"
André S.,"['Amazon Web Services', 'Business Intelligence', 'Cloud Computing', 'Mineração de Dados', 'Armazenagem de Dados', 'Java', 'Python', 'Arquitetura de Software', 'Estatísticas', 'Gerenciamento de Produtos']","['UX/UI & Web Design', 'Banco de Dados', 'Desenvolvimento Web', 'Marketing Digital', 'Cloud Computing', 'Desenvolvimento Desktop', 'Outra - Web, Mobile & Software', 'Gestão de Projetos']"
Guido Y.,"['Análise de Requisitos', 'ABBYY FineReader', 'Gerenciamento de Projetos', '4D Dimension', 'Prototipação', 'Python', 'QA / Testes', 'Scrum', 'Social Media', 'UX Design']","['Atendimento ao Consumidor', 'Planilhas e Relatórios', 'Entrada de Dados', 'Gestão de Projetos', 'Planejamento de Negócios']"
Fábio B.,"['AngularJS', 'Javascript', 'Mobile', 'NodeJS', 'NoSQL Couchbase', 'Python', 'Vue.JS']","['UX/UI & Web Design', 'Banco de Dados', 'Desenvolvimento Mobile', 'Desenvolvimento Web', 'Cloud Computing', 'Desenvolvimento Desktop', 'Outra - Web, Mobile & Software']"
Lucca S.,"['Estatísticas', 'Jornalismo Econômico', 'Pesquisa Científica']","['Planilhas e Relatórios', 'Análise de Dados & Estatística', 'Planejamento de Negócios', 'Financeiro', 'Outra - Administração & Contabilidade']"
